City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
207,Bria,CF,6.5423,21.9863,297.82,76,91,2.22,overcast clouds
208,Brightwater,NZ,-41.3833,173.1167,282.63,94,13,1.17,few clouds
209,Caconda,AO,-13.7333,15.0667,291.76,81,98,3.89,moderate rain
210,Kahului,US,20.8947,-156.47,299.17,79,0,5.66,clear sky
211,Awbari,LY,26.5921,12.7805,298.18,25,2,3.88,clear sky
212,Caravelas,BR,-17.7125,-39.2481,302.21,60,99,4.62,overcast clouds
213,Comodoro Rivadavia,AR,-45.8667,-67.5,288.07,29,0,4.12,clear sky
214,Mount Isa,AU,-20.7333,139.5,302.02,58,100,3.09,light rain
215,Foz Do Iguacu,BR,-25.5478,-54.5881,289.59,94,100,5.66,overcast clouds
216,Bentiu,SS,9.2333,29.8333,306.03,39,53,2.26,broken clouds
217,Ritchie,ZA,-29.038,24.6028,303.71,19,95,4.66,overcast clouds
218,Misratah,LY,32.3754,15.0925,296.36,52,12,5.44,few clouds
219,Colares,PT,38.7992,-9.4469,295.56,90,75,5.81,light intensity drizzle
220,Tigre,AR,-34.426,-58.5796,289.41,45,40,5.66,scattered clouds
221,Lucea,JM,18.451,-78.1736,303.63,66,93,7.23,overcast clouds
222,Huarmey,PE,-10.0681,-78.1522,292.19,73,89,4.17,overcast clouds
223,Vygonichi,RU,53.0985,34.0673,276.21,60,75,6.0,broken clouds
224,Ucluelet,CA,48.9329,-125.5528,282.64,94,37,0.45,scattered clouds
225,Svetlogorsk,BY,52.6333,29.7333,276.82,64,10,2.99,clear sky
226,Cabo San Lucas,MX,22.8909,-109.9124,297.88,65,2,2.04,clear sky
227,Bengkulu,ID,-3.8004,102.2655,298.11,87,99,1.97,overcast clouds
228,Castro,BR,-24.7911,-50.0119,290.84,98,100,3.63,overcast clouds
229,Beruwala,LK,6.4788,79.9828,299.34,84,83,1.97,broken clouds
230,Coesfeld,DE,51.9333,7.15,292.48,78,100,4.3,overcast clouds
231,Evans,US,33.5337,-82.1307,291.61,58,100,2.57,fog
232,Terrace,CA,54.5163,-128.6035,275.1,93,75,1.03,mist
